,"alagr","asagr","afore","afish","amcoa","amnfm","amoth","afood","atobm","atext","aclth","aleat","awood","apapp","aprin","achem","arupl","aglas","anmmp","airon","ametp","amach","aequi","atreq","aothm","aelwa","acnst","afins","abuss","atrac","atrns","apuba","aeduc","aheal","adoms","aoths","ctoba","cmaiz","cothg","csuga","ccott","coicr","chort","ccttl","cpoul","coliv","cdair","cfore","cfish","cmcoa","cmdia","cmgol","cmpgm","cmoth","cfood","ctobm","ctext","cclth","cleat","cwood","cpapp","cprin","cchem","crupl","cglas","cnmmp","ciron","cmetp","cmach","cequi","ctreq","cothm","celec","cwate","ccnst","cfins","cbuss","ctrac","ctrns","cpuba","ceduc","cheal","cdoms","coths","trc","flabsk","flabus","fcap","fmix","ent","hhrur","hhurb","gov","atax","stax","mtax","dtax","s-i","dstk","row"
"alagr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,91,13,169,2,61,50,106,134,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"asagr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,201,36,,82,53,96,68,69,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"afore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"afish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"amcoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,451,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"amnfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,167,86,,,,,,,,,1,,,,,,,,,,,,7,,,0,,,,,,1,,,,,,,,,,,,,,,,
"amoth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,6,,,,,,,,,0,,,0,,,,,,2,,,,,,,,,,,,,,,,
"afood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,1,,,,20,,,,,,,,847,,8,,,,,,26,,,,,,,,,,,,2,,0,8,,,,,,,,,,,,,,,,,,,,,,
"atobm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,118,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"atext",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8,,,,,,1,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,
"aclth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,,,,,0,,,,,,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
"aleat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
"awood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,,,,,,90,,,,,,,0,,,,,,4,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
"apapp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,57,32,,6,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
